id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	11	11	0	11	0	0
2	0	81	81	88	7	0	7	0	0
3	0	776	776	792	9	7	16	0	0
4	0	842	842	909	16	51	67	0	0
5	0	927	927	987	8	42	60	10	0
6	0	945	945	995	33	17	50	0	0
7	0	1180	1180	1185	5	0	5	0	0
8	0	1449	1449	1455	6	0	6	0	0
10	0	1606	1606	1612	4	2	6	0	0
9	0	1588	1588	1652	12	52	64	0	0
11	0	1904	1904	1937	27	6	33	0	0
12	0	2316	2316	2320	4	0	4	0	0
13	0	2412	2412	2444	24	8	32	0	0
14	0	2565	2565	2582	3	14	17	0	0
15	0	2607	2607	2627	6	14	20	0	0
16	0	2763	2763	2798	15	20	35	0	0
17	0	2984	2984	2987	3	0	3	0	0
18	0	2996	2996	3083	5	82	87	0	0
19	0	3295	3295	3297	2	0	2	0	0
20	0	3400	3400	3422	22	0	22	0	0
0	0	0	0	3422	3200	0	3422	222	0
