id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	9	9	0	9	0	0
3	0	155	155	173	18	0	18	0	0
4	0	179	179	210	31	0	31	0	0
2	0	57	57	224	115	3	167	49	0
6	0	483	483	524	41	0	41	0	0
5	0	464	464	551	46	0	87	41	0
8	0	801	801	821	8	12	20	0	0
10	0	849	876	967	79	0	118	39	27
7	0	676	676	1081	193	56	405	156	0
12	0	888	995	1092	19	0	204	185	107
9	0	828	828	1181	136	19	353	198	0
11	0	876	1094	1189	18	77	313	218	218
13	0	1094	1162	1195	23	0	101	78	68
15	0	1467	1467	1581	35	0	114	79	0
14	0	1437	1437	1607	101	69	170	0	0
0	0	0	0	1607	735	0	1607	872	0
