id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	5	5	0	5	0	0
2	0	61	61	81	18	2	20	0	0
3	0	186	186	191	5	0	5	0	0
4	0	596	596	674	78	0	78	0	0
5	0	670	674	692	11	7	22	4	4
6	0	772	772	776	4	0	4	0	0
7	0	804	804	833	26	3	29	0	0
9	0	866	895	922	13	14	56	29	29
8	0	856	856	941	49	36	85	0	0
10	0	1039	1039	1048	9	0	9	0	0
11	0	1920	1920	1961	19	22	41	0	0
12	0	2073	2073	2080	7	0	7	0	0
13	0	2293	2293	2340	17	30	47	0	0
14	0	2446	2446	2483	26	11	37	0	0
15	0	2707	2707	2784	21	56	77	0	0
0	0	0	0	2784	2476	0	2784	308	0
