id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	3	3	0	3	0	0
2	0	190	190	207	14	3	17	0	0
3	0	416	416	506	73	17	90	0	0
4	0	766	766	927	139	22	161	0	0
5	0	1124	1124	1186	62	0	62	0	0
6	0	1540	1540	1577	37	0	37	0	0
8	0	1638	1684	1812	57	16	174	101	46
7	0	1553	1577	1878	223	45	325	57	24
9	0	1879	1879	1899	19	1	20	0	0
10	0	1958	1958	1996	38	0	38	0	0
12	0	2253	2388	2392	4	0	139	135	135
11	0	2127	2127	2413	282	4	286	0	0
13	0	2412	2413	2528	76	39	116	1	1
14	0	2917	2917	3215	219	12	298	67	0
15	0	2933	3026	3222	86	11	289	192	93
0	0	0	0	3222	1890	0	3222	1332	0
