id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	77	52	25	77	0	0
2	0	493	493	525	32	0	32	0	0
3	0	553	553	557	4	0	4	0	0
4	0	667	667	843	129	47	176	0	0
5	0	995	995	1014	19	0	19	0	0
7	0	1092	1092	1154	62	0	62	0	0
6	0	1089	1089	1221	48	22	132	62	0
8	0	1478	1478	1520	42	0	42	0	0
9	0	1757	1757	1766	9	0	9	0	0
10	0	1824	1824	1830	6	0	6	0	0
11	0	1956	1956	1989	32	1	33	0	0
12	0	2018	2018	2053	29	6	35	0	0
13	0	2356	2356	2381	25	0	25	0	0
14	0	2430	2430	2491	33	28	61	0	0
15	0	2568	2568	2605	14	23	37	0	0
16	0	2699	2699	2712	11	2	13	0	0
17	0	2923	2923	2937	14	0	14	0	0
18	0	3140	3140	3249	109	0	109	0	0
19	0	3333	3333	3379	24	22	46	0	0
20	0	3346	3346	3403	40	0	57	17	0
0	0	0	0	3403	2669	0	3403	734	0
