id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	134	118	16	134	0	0
2	0	218	218	225	7	0	7	0	0
3	0	278	278	287	9	0	9	0	0
4	0	339	339	341	2	0	2	0	0
6	0	523	549	560	11	0	37	26	26
5	0	516	516	567	40	6	51	5	0
7	0	561	567	648	81	0	87	6	6
8	0	645	648	652	4	0	7	3	3
9	0	805	805	933	103	25	128	0	0
10	0	976	976	1032	47	9	56	0	0
11	0	1209	1209	1237	19	9	28	0	0
12	0	1363	1363	1420	29	28	57	0	0
13	0	1507	1507	1532	8	17	25	0	0
14	0	1622	1622	1669	47	0	47	0	0
15	0	1716	1716	1730	14	0	14	0	0
0	0	0	0	1730	1191	0	1730	539	0
