id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	85	77	8	85	0	0
2	0	526	526	555	18	11	29	0	0
3	0	567	567	602	35	0	35	0	0
4	0	871	871	906	18	17	35	0	0
5	0	932	932	1042	85	14	110	11	0
6	0	955	955	1088	65	5	133	63	0
7	0	1105	1105	1113	8	0	8	0	0
8	0	1541	1541	1615	52	22	74	0	0
10	0	1829	1830	1890	60	0	61	1	1
9	0	1747	1747	1960	130	5	213	78	0
11	0	1866	1890	2030	54	27	164	83	24
12	0	1891	1904	2067	72	26	176	78	13
13	0	2788	2788	2806	18	0	18	0	0
14	0	3262	3262	3486	222	2	224	0	0
15	0	3448	3486	3518	18	14	70	38	38
0	0	0	0	3518	2586	0	3518	932	0
