id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	85	77	8	85	0	0
2	0	526	526	555	18	11	29	0	0
3	0	567	567	602	35	0	35	0	0
4	0	871	871	906	18	17	35	0	0
5	0	932	932	1031	85	14	99	0	0
6	0	955	955	1093	65	5	138	68	0
7	0	1105	1105	1113	8	0	8	0	0
8	0	1541	1541	1615	52	22	74	0	0
10	0	1829	1829	1912	60	0	83	23	0
9	0	1747	1747	1951	130	5	204	69	0
12	0	1891	1960	2058	72	26	167	69	69
11	0	1866	1872	2068	54	27	202	121	6
13	0	2788	2788	2806	18	0	18	0	0
15	0	3448	3448	3480	18	14	32	0	0
14	0	3262	3262	3504	222	2	242	18	0
0	0	0	0	3504	2572	0	3504	932	0
