id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	8	8	0	8	0	0
2	0	5	8	15	7	0	10	3	3
3	0	42	42	99	53	4	57	0	0
4	0	110	110	219	68	9	109	32	0
5	0	154	154	241	58	23	87	6	0
6	0	202	241	435	194	0	233	39	39
8	0	333	435	495	21	7	162	134	102
7	0	297	453	569	110	5	272	157	156
9	0	575	575	634	41	18	59	0	0
10	0	645	645	678	33	0	33	0	0
11	0	648	678	745	42	25	97	30	30
12	0	739	745	792	44	3	53	6	6
14	0	1029	1054	1127	27	7	98	64	25
15	0	1054	1062	1144	63	1	90	26	8
16	0	1194	1194	1254	60	0	60	0	0
13	0	890	890	1399	310	68	509	131	0
17	0	1596	1596	1695	97	2	99	0	0
18	0	1657	1695	1700	5	0	43	38	38
19	0	1879	1879	1951	63	9	72	0	0
20	0	1995	1995	2145	143	7	150	0	0
0	0	0	0	2145	698	0	2145	1447	0
