id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	52	52	0	52	0	0
3	0	323	323	335	12	0	12	0	0
2	0	283	283	421	52	86	138	0	0
4	0	534	534	572	32	6	38	0	0
5	0	596	596	665	59	10	69	0	0
6	0	720	720	870	94	56	150	0	0
7	0	1041	1041	1102	61	0	61	0	0
8	0	1158	1158	1224	58	8	66	0	0
9	0	1240	1240	1268	28	0	28	0	0
10	0	1324	1324	1347	23	0	23	0	0
11	0	1410	1410	1460	26	24	50	0	0
13	0	1546	1546	1576	17	13	30	0	0
14	0	1577	1577	1607	14	16	30	0	0
15	0	1612	1612	1640	28	0	28	0	0
12	0	1493	1493	1701	89	65	208	54	0
16	0	1855	1855	1955	83	17	100	0	0
17	0	2239	2239	2255	16	0	16	0	0
18	0	2267	2267	2270	3	0	3	0	0
19	0	2423	2423	2442	19	0	19	0	0
20	0	2609	2609	2709	77	23	100	0	0
0	0	0	0	2709	1866	0	2709	843	0
