id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	3	3	0	3	0	0
2	0	94	94	96	2	0	2	0	0
3	0	132	132	161	7	22	29	0	0
4	0	150	150	169	4	15	19	0	0
5	0	416	416	443	8	19	27	0	0
6	0	538	538	540	2	0	2	0	0
7	0	637	637	641	4	0	4	0	0
8	0	743	743	748	5	0	5	0	0
9	0	781	781	784	3	0	3	0	0
10	0	802	802	806	4	0	4	0	0
11	0	913	913	946	26	4	33	3	0
12	0	919	919	960	9	32	41	0	0
13	0	1078	1078	1081	3	0	3	0	0
14	0	1450	1450	1454	4	0	4	0	0
15	0	1519	1519	1576	15	42	57	0	0
0	0	0	0	1576	1477	0	1576	99	0
