id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	5	5	7	2	0	2	0	0
1	0	0	0	49	36	11	49	2	0
3	0	509	509	510	1	0	1	0	0
4	0	556	556	579	22	1	23	0	0
5	0	608	608	650	38	4	42	0	0
6	0	738	738	763	20	0	25	5	0
7	0	744	744	766	7	15	22	0	0
9	0	955	955	1034	73	6	79	0	0
10	0	1205	1205	1230	10	0	25	15	0
8	0	945	945	1258	114	125	313	74	0
12	0	1256	1256	1305	10	8	49	31	0
11	0	1231	1231	1316	56	25	85	4	0
13	0	1301	1316	1371	21	10	70	39	15
14	0	1325	1325	1374	37	4	49	8	0
15	0	1478	1478	1518	37	3	40	0	0
17	0	1601	1601	1608	7	0	7	0	0
16	0	1591	1591	1627	16	20	36	0	0
18	0	1713	1713	1740	27	0	27	0	0
19	0	2016	2016	2018	2	0	2	0	0
20	0	2285	2285	2301	10	6	16	0	0
0	0	0	0	2301	1755	0	2301	546	0
