id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	9	9	0	9	0	0
2	0	57	57	175	115	3	118	0	0
3	0	155	175	193	18	0	38	20	20
4	0	179	193	224	31	0	45	14	14
5	0	464	464	510	46	0	46	0	0
6	0	483	510	551	41	0	68	27	27
8	0	801	834	916	8	12	115	95	33
12	0	888	932	951	19	0	63	44	44
7	0	676	676	1083	193	56	407	158	0
11	0	876	916	1085	18	77	209	114	40
9	0	828	839	1093	136	19	265	110	11
10	0	849	1093	1172	79	0	323	244	244
13	0	1094	1172	1195	23	0	101	78	78
15	0	1467	1467	1502	35	0	35	0	0
14	0	1437	1437	1612	101	69	175	5	0
0	0	0	0	1612	740	0	1612	872	0
