id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	54	9	45	54	0	0
2	0	74	74	152	69	9	78	0	0
3	0	375	375	469	44	50	94	0	0
4	0	544	544	546	2	0	2	0	0
5	0	649	649	653	4	0	4	0	0
6	0	697	697	744	19	4	47	24	0
7	0	711	711	745	27	4	34	3	0
8	0	1130	1130	1179	41	8	49	0	0
9	0	1243	1243	1339	69	27	96	0	0
10	0	1468	1468	1504	10	26	36	0	0
12	0	1492	1492	1548	13	0	56	43	0
11	0	1481	1481	1575	23	71	94	0	0
13	0	1514	1514	1590	32	44	76	0	0
14	0	1692	1692	1719	26	1	27	0	0
15	0	1764	1764	1839	25	50	75	0	0
16	0	1811	1811	1841	12	0	30	18	0
18	0	2010	2010	2063	51	2	53	0	0
17	0	1973	1973	2100	64	12	127	51	0
19	0	2125	2125	2142	17	0	17	0	0
20	0	2568	2568	2612	35	9	44	0	0
0	0	0	0	2612	2020	0	2612	592	0
