id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	5	20	22	2	0	17	15	15
1	0	0	0	47	36	11	47	0	0
3	0	509	509	510	1	0	1	0	0
4	0	556	556	579	22	1	23	0	0
5	0	608	608	650	38	4	42	0	0
6	0	738	738	758	20	0	20	0	0
7	0	744	758	780	7	15	36	14	14
9	0	955	1031	1110	73	6	155	76	76
8	0	945	945	1184	114	125	239	0	0
10	0	1205	1205	1215	10	0	10	0	0
12	0	1256	1256	1274	10	8	18	0	0
11	0	1231	1231	1317	56	25	86	5	0
14	0	1325	1330	1371	37	4	46	5	5
13	0	1301	1317	1378	21	10	77	46	16
15	0	1478	1478	1518	37	3	40	0	0
17	0	1601	1601	1608	7	0	7	0	0
16	0	1591	1591	1627	16	20	36	0	0
18	0	1713	1713	1740	27	0	27	0	0
19	0	2016	2016	2018	2	0	2	0	0
20	0	2285	2285	2301	10	6	16	0	0
0	0	0	0	2301	1755	0	2301	546	0
