id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	20	20	0	20	0	0
2	0	107	107	137	24	6	30	0	0
4	0	506	506	521	12	3	15	0	0
3	0	463	463	522	15	32	59	12	0
5	0	629	629	666	9	28	37	0	0
6	0	880	880	889	9	0	9	0	0
7	0	1015	1015	1067	39	13	52	0	0
8	0	1139	1139	1207	35	27	68	6	0
10	0	1154	1190	1208	12	0	54	42	36
11	0	1227	1227	1244	10	7	17	0	0
9	0	1148	1148	1286	75	38	138	25	0
12	0	1489	1489	1527	21	17	38	0	0
13	0	1666	1666	1711	25	20	45	0	0
14	0	1824	1824	1830	6	0	6	0	0
15	0	1832	1832	1841	9	0	9	0	0
0	0	0	0	1841	1520	0	1841	321	0
