id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	3	3	0	3	0	0
2	0	190	190	207	14	3	17	0	0
3	0	416	416	506	73	17	90	0	0
4	0	766	766	927	139	22	161	0	0
5	0	1124	1124	1186	62	0	62	0	0
6	0	1540	1540	1656	37	0	116	79	0
8	0	1638	1678	1822	57	16	184	111	40
7	0	1553	1553	1861	223	45	308	40	0
9	0	1879	1879	1899	19	1	20	0	0
10	0	1958	1958	1996	38	0	38	0	0
12	0	2253	2253	2257	4	0	4	0	0
11	0	2127	2127	2482	282	4	355	69	0
13	0	2412	2412	2527	76	39	115	0	0
15	0	2933	2933	3030	86	11	97	0	0
14	0	2917	2917	3234	219	12	317	86	0
0	0	0	0	3234	1902	0	3234	1332	0
