id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	5	5	12	7	0	7	0	0
1	0	0	0	15	8	0	15	7	0
3	0	42	42	99	53	4	57	0	0
4	0	110	110	187	68	9	77	0	0
6	0	202	202	417	194	0	215	21	0
8	0	333	454	538	21	7	205	177	121
5	0	154	154	548	58	23	394	313	0
7	0	297	333	566	110	5	269	154	36
9	0	575	575	634	41	18	59	0	0
11	0	648	648	715	42	25	67	0	0
10	0	645	645	720	33	0	75	42	0
12	0	739	739	786	44	3	47	0	0
14	0	1029	1029	1081	27	7	52	18	0
16	0	1194	1211	1271	60	0	77	17	17
15	0	1054	1081	1295	63	1	241	177	27
13	0	890	890	1362	310	68	472	94	0
18	0	1657	1657	1662	5	0	5	0	0
17	0	1596	1596	1700	97	2	104	5	0
19	0	1879	1879	1951	63	9	72	0	0
20	0	1995	1995	2145	143	7	150	0	0
0	0	0	0	2145	698	0	2145	1447	0
